DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/30/2017,10:30,QUEENS,11354,40.76502,-73.82049,"(40.76502, -73.82049)",,,146-01    NORTHERN BOULEVARD            ,0,0,0,0,0,0,0,0,Unspecified,,,,,3800183,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
11/30/2017,12:59,QUEENS,11354,40.76651,-73.81651,"(40.76651, -73.81651)",35 AVENUE                       ,149 PLACE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3800546,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/30/2017,13:00,QUEENS,11354,,,,NORTHERN BOULEVARD              ,PRINCE STREET,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3800550,FB,PASSENGER VEHICLE,,,
11/29/2017,0:00,QUEENS,11354,40.761772,-73.8215,"(40.761772, -73.8215)",,,144-48    ROOSEVELT AVENUE              ,0,0,0,0,0,0,0,0,Unspecified,,,,,3799901,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/29/2017,5:10,QUEENS,11354,,,,PRINCE STREET                   ,NORTHERN BOULEVARD,,4,0,0,0,0,0,4,0,Pavement Defective,,,,,3799272,SPORT UTILITY / STATION WAGON,,,,
11/29/2017,9:30,QUEENS,11354,40.760994,-73.82443,"(40.760994, -73.82443)",BOWNE STREET                    ,ROOSEVELT AVENUE,,1,0,0,0,0,0,1,0,Backing Unsafely,Unspecified,Unspecified,,,3799475,PASSENGER VEHICLE,PASSENGER VEHICLE,PICK-UP TRUCK,,
11/28/2017,9:00,QUEENS,11354,40.768257,-73.83603,"(40.768257, -73.83603)",,,31-25     DOWNING STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3800191,TK,,,,
11/28/2017,9:30,QUEENS,11354,40.770172,-73.83293,"(40.770172, -73.83293)",,,30-48     LINDEN PLACE                  ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3798853,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/27/2017,11:40,QUEENS,11354,40.765354,-73.81733,"(40.765354, -73.81733)",NORTHERN BOULEVARD              ,149 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Following Too Closely,Unspecified,,,3798614,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
11/27/2017,16:15,QUEENS,11354,40.763424,-73.83016,"(40.763424, -73.83016)",LINDEN PLACE                    ,NORTHERN BOULEVARD,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3798634,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/26/2017,13:09,QUEENS,11354,40.759842,-73.83186,"(40.759842, -73.83186)",,,135-23    39 AVENUE                     ,0,0,0,0,0,0,0,0,Unspecified,,,,,3797565,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
11/26/2017,4:00,QUEENS,11354,40.765057,-73.81293,"(40.765057, -73.81293)",NORTHERN BOULEVARD              ,MURRAY STREET,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,3797085,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
11/26/2017,9:15,QUEENS,11354,40.765354,-73.81733,"(40.765354, -73.81733)",NORTHERN BOULEVARD              ,149 STREET,,2,0,0,0,0,0,2,0,Traffic Control Disregarded,Unspecified,,,,3797552,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
11/25/2017,21:30,QUEENS,11354,40.75666,-73.83378,"(40.75666, -73.83378)",,,40-53     COLLEGE POINT BOULEVARD       ,1,0,0,0,0,0,1,0,Unsafe Speed,Unspecified,,,,3796848,BU,PASSENGER VEHICLE,,,
11/24/2017,13:45,QUEENS,11354,40.76189,-73.82967,"(40.76189, -73.82967)",138 STREET                      ,37 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3796859,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
11/24/2017,9:40,QUEENS,11354,40.76702,-73.82283,"(40.76702, -73.82283)",34 AVENUE                       ,145 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3796402,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
