DATE,PRCP,SNOW
1/1/2011,0,0
1/2/2011,0.11,0
1/3/2011,0,0
1/4/2011,0,0
1/5/2011,0,0
1/6/2011,0,0
1/7/2011,0.07,0.8
1/8/2011,0,0.2
1/9/2011,0,0
1/10/2011,0,0
1/11/2011,0.18,1.9
1/12/2011,0.42,4.2
1/13/2011,0,0
1/14/2011,0,0
1/15/2011,0,0
1/16/2011,0,0
1/17/2011,0,0
1/18/2011,1.28,0
1/19/2011,0.08,0
1/20/2011,0,0
1/21/2011,0.38,3.9
1/22/2011,0,0
1/23/2011,0,0
1/24/2011,0,0
1/25/2011,0.02,0.3
1/26/2011,0.61,6
1/27/2011,0.38,4.3
1/28/2011,0.01,0.2
1/29/2011,0.01,0.3
1/30/2011,0,0
1/31/2011,0,0
2/1/2011,0.07,0.5
2/2/2011,0.69,0
2/3/2011,0,0
2/4/2011,0,0
2/5/2011,0.23,0
2/6/2011,0,0
2/7/2011,0.1,0
2/8/2011,0.13,0
2/9/2011,0,0
2/10/2011,0,0
2/11/2011,0,0
2/12/2011,0,0
2/13/2011,0,0
2/14/2011,0,0
2/15/2011,0,0
2/16/2011,0,0
2/17/2011,0,0
2/18/2011,0.1,0
2/19/2011,0,0
2/20/2011,0,0
2/21/2011,0.19,2.3
2/22/2011,0,0
2/23/2011,0,0
2/24/2011,0.06,0
2/25/2011,1.26,0
2/26/2011,0,0
2/27/2011,0,0
2/28/2011,0.37,0
3/1/2011,0,0
3/2/2011,0,0
3/3/2011,0,0
3/4/2011,0,0
3/5/2011,0,0
3/6/2011,1.32,0
3/7/2011,0.07,0
3/8/2011,0,0
3/9/2011,0,0
3/10/2011,0.53,0
3/11/2011,0.64,0
3/12/2011,0,0
3/13/2011,0,0
3/14/2011,0,0
3/15/2011,0,0
3/16/2011,0.7,0
3/17/2011,0,0
3/18/2011,0,0
3/19/2011,0,0
3/20/2011,0,0
3/21/2011,0.33,0
3/22/2011,0,0
3/23/2011,0.71,0.9
3/24/2011,0.07,0.4
3/25/2011,0,0
3/26/2011,0,0
3/27/2011,0,0
3/28/2011,0,0
3/29/2011,0,0
3/30/2011,0,0
3/31/2011,0.18,0
4/1/2011,0.17,0
4/2/2011,0,0
4/3/2011,0,0
4/4/2011,0.03,0
4/5/2011,0.08,0
4/6/2011,0.06,0
4/7/2011,0,0
4/8/2011,0,0
4/9/2011,0,0
4/10/2011,0,0
4/11/2011,0,0
4/12/2011,0.69,0
4/13/2011,0.5,0
4/14/2011,0,0
4/15/2011,0,0
4/16/2011,1.25,0
4/17/2011,0.05,0
4/18/2011,0,0
4/19/2011,0.01,0
4/20/2011,0,0
4/21/2011,0,0
4/22/2011,0,0
4/23/2011,0.95,0
4/24/2011,0.4,0
4/25/2011,0,0
4/26/2011,0,0
4/27/2011,0,0
4/28/2011,0.11,0
4/29/2011,0,0
4/30/2011,0,0
5/1/2011,0,0
5/2/2011,0,0
5/3/2011,0,0
5/4/2011,0.58,0
5/5/2011,0,0
5/6/2011,0,0
5/7/2011,0,0
5/8/2011,0,0
5/9/2011,0,0
5/10/2011,0,0
5/11/2011,0,0
5/12/2011,0,0
5/13/2011,0,0
5/14/2011,0,0
5/15/2011,0.06,0
5/16/2011,0.02,0
5/17/2011,1.01,0
5/18/2011,0.89,0
5/19/2011,0,0
